Year,Country,Image url,Region code,Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2015,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142,ASIA,153,3.575,Green,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719
2016,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142,ASIA,154,3.36,Green,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112
2017,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142,ASIA,141,3.794,Green,0.401477,0.581543,0.180747,0.10618,0.311871,0.0611578
2018,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142,ASIA,144,3.632,Green,0.332,0.537,0.255,0.085,0.191,0.036
2019,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg,142,ASIA,154,3.203,Green,0.35,0.517,0.361,0.0,0.158,0.025
2015,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150,EUROPE,95,4.959,Green,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413
2016,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150,EUROPE,109,4.655,Green,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301
2017,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150,EUROPE,109,4.644,Green,0.996193,0.803685,0.73116,0.381499,0.201313,0.0398642
2018,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150,EUROPE,111,4.586,Green,0.916,0.817,0.79,0.419,0.149,0.032
2019,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,150,EUROPE,107,4.719,Green,0.947,0.848,0.874,0.383,0.178,0.027
2015,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2,AFRICA,68,5.605,Green,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383
2016,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2,AFRICA,38,6.355,Green,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157
2017,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2,AFRICA,53,5.872,Green,1.09186,1.14622,0.617585,0.233336,0.0694366,0.146096
2018,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2,AFRICA,83,5.295,Green,0.979,1.154,0.687,0.077,0.055,0.135
2019,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2,AFRICA,88,5.211,Green,1.002,1.16,0.785,0.086,0.073,0.114
2015,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2,AFRICA,137,4.033,Green,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122
2016,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2,AFRICA,141,3.866,Green,0.84731,0.66366,0.04991,0.00589,0.12071,0.08434
2017,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2,AFRICA,140,3.795,Green,0.858428,1.10441,0.0498687,0.0,0.0979265,0.0697203
2018,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,2,AFRICA,141,3.795,Green,0.73,1.125,0.269,0.0,0.079,0.061
2015,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,19,AMERICAS,30,6.574,Green,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
2016,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,19,AMERICAS,26,6.65,Green,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296
2017,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,19,AMERICAS,24,6.599,Green,1.1853,1.44045,0.695137,0.494519,0.109457,0.0597399
2018,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,19,AMERICAS,28,6.388,Green,1.073,1.468,0.744,0.57,0.062,0.054
2019,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,19,AMERICAS,47,6.086,Green,1.092,1.432,0.881,0.471,0.066,0.05
2015,Armenia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,142,ASIA,127,4.35,Green,0.76821,0.77711,0.7299,0.19847,0.07855,0.039
2016,Armenia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,142,ASIA,121,4.36,Green,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616
2017,Armenia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,142,ASIA,121,4.376,Green,0.900597,1.00748,0.637524,0.198303,0.0834881,0.0266744
2018,Armenia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,142,ASIA,128,4.321,Green,0.816,0.99,0.666,0.26,0.077,0.028
2019,Armenia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,142,ASIA,116,4.559,Green,0.85,1.055,0.815,0.283,0.095,0.064
2015,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,9,OCEANIA,10,7.284,Green,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
2016,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,9,OCEANIA,9,7.313,Green,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331
2017,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,9,OCEANIA,9,7.284,Green,1.48441,1.51004,0.843887,0.601607,0.477699,0.301184
2018,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,9,OCEANIA,10,7.272,Green,1.34,1.573,0.91,0.647,0.361,0.302
2019,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,9,OCEANIA,11,7.228,Green,1.372,1.548,1.036,0.557,0.332,0.29
2015,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,13,7.2,Green,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
2016,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,12,7.119,Green,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348
2017,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,13,7.006,Green,1.4871,1.45994,0.815328,0.567766,0.316472,0.22106
2018,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,150,EUROPE,12,7.139,Green,1.341,1.504,0.891,0.617,0.242,0.224
